id	title_total_words	title_general_disruption_words	title_protester_messaging_words	title_positive_comments_words	title_negative_comments_words	subtitle_total_words	subtitle_general_disruption_words	subtitle_protester_messaging_words	subtitle_positive_comments_words	subtitle_negative_comments_words	main_content_total_words	main_content_total_pictures	main_content_general_disruption_words	main_content_general_disruption_pictures	main_content_protester_messaging_words	main_content_protester_messaging_pictures	main_content_positive_comments_words	main_content_positive_comments_pictures	main_content_negative_comments_words	main_content_negative_comments_pictures	all_content_total_words	all_content_total_pictures	all_content_total_words_and_pictures	all_content_general_disruption_words	all_content_general_disruption_pictures	all_content_general_disruption_words_and_pictures	all_content_protester_messaging_words	all_content_protester_messaging_pictures	all_content_protester_messaging_words_and_pictures	all_content_positive_comments_words	all_content_positive_comments_pictures	all_content_positive_comments_words_and_pictures	all_content_negative_comments_words	all_content_negative_comments_pictures	all_content_negative_comments_words_and_pictures	tagging_error
BBC_2023-10-10_Radcliffe-Camera-in-Oxford	12	12	0	0	0	0	0	0	0	0	331	2	131	2	85	0	0	0	92	0	343	2	443	143	2	243	85	0	85	0	0	0	92	0	92	no
BBC_2023-10-11_Paint-sprayed-on-Falmouth	7	7	0	0	0	0	0	0	0	0	216	3	159	3	17	0	0	0	40	0	223	3	373	166	3	316	17	0	17	0	0	0	40	0	40	no
BBC_2023-10-12_Just-Stop-Oil-protesters	10	10	0	0	0	0	0	0	0	0	369	3	208	2	0	0	0	0	113	0	379	3	529	218	2	318	0	0	0	0	0	0	113	0	113	no
BBC_2023-10-13_Just-Stop-Oil-spraypaint	7	7	0	0	0	0	0	0	0	0	341	3	202	3	58	1	0	0	62	0	348	3	498	209	3	359	58	1	108	0	0	0	62	0	62	no
BBC_2023-10-25_Bristol-grandma-climbed-M25	9	5	3	0	0	0	0	0	0	0	343	3	123	2	148	0	0	0	15	0	352	3	502	128	2	228	151	0	151	0	0	0	15	0	15	no
BBC_2023-12-18_Extinction-Rebellion-cofounder-Gail	6	0	0	0	0	0	0	0	0	0	360	3	188	1	109	0	0	0	54	0	366	3	516	188	1	238	109	0	109	0	0	0	54	0	54	no
BBC_2024-02-26_Climate-protesters-guilty-of	7	0	0	0	0	0	0	0	0	0	306	2	198	1	0	0	0	0	46	0	313	2	413	198	1	248	0	0	0	0	0	0	46	0	46	no
BBC_2024-04-06_Greta-Thunberg-Activist-arrested	8	8	0	0	0	0	0	0	0	0	350	3	248	3	102	0	0	0	0	0	358	3	508	256	3	406	102	0	102	0	0	0	0	0	0	no
BBC_2024-04-18_GP-could-be-struck	10	0	0	0	0	0	0	0	0	0	331	2	173	1	154	1	0	0	0	0	341	2	441	173	1	223	154	1	204	0	0	0	0	0	0	no
BBC_2024-04-26_MP-hits-out-at	8	0	0	0	8	0	0	0	0	0	328	2	129	2	111	0	0	0	91	0	336	2	436	129	2	229	111	0	111	0	0	0	99	0	99	no
BBC_2024-05-10_Just-Stop-Oil-pair	8	8	0	0	0	0	0	0	0	0	354	2	121	1	98	0	0	0	70	0	362	2	462	129	1	179	98	0	98	0	0	0	70	0	70	no
BBC_2024-06-19_Stonehenge-covered-in-powder	9	9	0	0	0	0	0	0	0	0	323	3	137	3	59	0	0	0	86	0	332	3	482	146	3	296	59	0	59	0	0	0	86	0	86	no
BBC_2024-06-21_Two-women-charged-after	8	8	0	0	0	0	0	0	0	0	224	1	153	1	0	0	0	0	71	0	232	1	282	161	1	211	0	0	0	0	0	0	71	0	71	no
BBC_2024-06-29_Third-arrest-after-Stonehenge	8	8	0	0	0	0	0	0	0	0	205	1	178	1	27	0	0	0	0	0	213	1	263	186	1	236	27	0	27	0	0	0	0	0	0	no
BBC_2024-07-18_Two-men-face-trial	8	8	0	0	0	0	0	0	0	0	151	1	132	1	0	0	0	0	0	0	159	1	209	140	1	190	0	0	0	0	0	0	0	0	0	no
